2025-06-17 22:02:51,517 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 22:02:51,517 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 22:02:51,517 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 22:02:51,517 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 22:03:12,660 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@3554cac7: startup date [Tue Jun 17 22:03:12 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 22:03:12,661 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 22:03:12,672 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-17 22:10:08,968 INFO  [Thread-0] o.s.c.s.ClassPathXmlApplicationContext: Closing ApplicationContext 'ackdContext': startup date [Tue Jun 17 22:03:12 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 22:10:08,968 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 22:10:08,968 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 22:10:08,968 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 22:10:08,968 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 22:10:30,841 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@72611520: startup date [Tue Jun 17 22:10:30 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 22:10:30,842 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 22:10:30,853 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-17 22:12:32,338 INFO  [Thread-0] o.s.c.s.ClassPathXmlApplicationContext: Closing ApplicationContext 'ackdContext': startup date [Tue Jun 17 22:10:30 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 22:12:32,338 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 22:12:32,339 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 22:12:32,339 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 22:12:32,339 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 22:12:56,437 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@da533f6: startup date [Tue Jun 17 22:12:56 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 22:12:56,438 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 22:12:56,454 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-17 22:38:31,206 INFO  [Thread-0] o.s.c.s.ClassPathXmlApplicationContext: Closing ApplicationContext 'ackdContext': startup date [Tue Jun 17 22:12:56 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 22:38:31,207 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 22:38:31,207 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 22:38:31,207 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
